"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","876","CART_001 Verify Add to Cart button is visible","chromium","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1291","CHECKOUT_008 Verify Year field is visible","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1474","AUTH_016 Verify logout functionality","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","531","CONT_006 Verify Send Message button is visible","chromium","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","229","NAV_004 Verify Cart link is visible","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","1621","CONT_006 Verify Send Message button is visible","webkit","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","813","CONT_006 Verify Send Message button is visible","firefox","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","1496","CHECKOUT_006 Verify Credit Card field is visible","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1116","CHECKOUT_001 Verify Place Order button is visible","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","355","AUTH_002 Verify Login button is visible","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","468","NAV_007 Verify Home navigation works","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","1921","CART_002 Verify product can be added to cart","webkit","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1676","ORDER_010 Verify confirmation message after purchase","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","845","get started link","firefox","2026-05-30","passed","2026-05-30","","example.spec.js","",""
"","3047","ORDER_011 Verify OK button closes confirmation popup","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","533","SESSION_008 Verify user session persists on homepage","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","1085","CART_003 Verify success alert after adding product","firefox","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1843","ORDER_010 Verify confirmation message after purchase","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","472","NAV_009 Verify Contact modal opens","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","689","NAV_008 Verify Cart page navigation","firefox","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","858","AUTH_014 Verify login with empty password","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","1204","SESSION_001 Verify user session persists after refresh","webkit","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","2069","ORDER_013 Verify cart page URL before checkout","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","2033","CHECKOUT_012 Verify OK button is visible after purchase","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1173","ORDER_007 Verify Month field accepts input","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","1631","ORDER_006 Verify Credit Card field accepts input","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","2812","CHECKOUT_010 Verify order can be placed successfully","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","3707","CART_006 Verify multiple products can be added","webkit","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1203","ORDER_002 Verify order modal opens","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","2436","CART_010 Verify cart persists after refresh","webkit","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","30084","NAV_011 Verify Login modal opens","webkit","2026-05-30","broken","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","540","AUTH_002 Verify Login button is visible","firefox","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","1142","ORDER_013 Verify cart page URL before checkout","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","1771","AUTH_011 Verify login with invalid username","firefox","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","2700","ORDER_009 Verify purchase with valid details","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","1491","CHECKOUT_003 Verify Name field is visible","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1441","NAV_010 Verify About Us modal opens","webkit","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","1528","ORDER_015 Verify order modal fields are visible","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","2796","CHECKOUT_014 Verify purchase without mandatory details","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","3017","CHECKOUT_013 Verify order modal can be closed","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1368","PROD_011 Verify category switching works correctly","webkit","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","1171","CART_007 Verify cart total is displayed","chromium","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","799","AUTH_011 Verify login with invalid username","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","642","SESSION_013 Verify login button appears after logout","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","30080","AUTH_007 Verify signup with empty username","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","1","CONT_010 Verify contact modal can close","webkit","2026-05-30","skipped","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","2036","ORDER_001 Verify Place Order button is visible","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","30091","AUTH_019 Verify signup modal close functionality","firefox","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","0","Future validation test","chromium","2026-05-30","skipped","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","638","PROD_001 Verify homepage products are visible","firefox","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","756","NAV_002 Verify Contact link is visible","webkit","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","2096","CHECKOUT_013 Verify order modal can be closed","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","792","PROD_014 Verify Previous button navigation","firefox","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","1064","CART_002 Verify product can be added to cart","firefox","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","2263","CHECKOUT_008 Verify Year field is visible","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1521","ORDER_005 Verify City field accepts input","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","1490","CHECKOUT_008 Verify Year field is visible","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","287","NAV_001 Verify Home link is visible","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","1197","ORDER_003 Verify Name field accepts input","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","680","CART_004 Verify cart page opens successfully","firefox","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1232","AUTH_013 Verify login with empty username","firefox","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","504","SESSION_004 Verify logout button is visible","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","2457","CART_006 Verify multiple products can be added","firefox","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","30081","AUTH_004 Verify login modal opens successfully","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","30080","AUTH_012 Verify login with invalid password","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","3421","ORDER_014 Verify purchase button visibility","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","2188","ORDER_005 Verify City field accepts input","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","638","PROD_010 Verify Monitors category filter works","firefox","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","1778","CART_005 Verify added product is visible in cart","chromium","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1334","CART_010 Verify cart persists after refresh","chromium","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1228","CHECKOUT_009 Verify Purchase button is visible","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","2160","CART_006 Verify multiple products can be added","chromium","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","654","SESSION_014 Verify signup button appears after logout","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","1032","CART_012 Verify duplicate product addition","firefox","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","632","NAV_014 Verify Next carousel button","firefox","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","2343","ORDER_006 Verify Credit Card field accepts input","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","341","get started link","chromium","2026-05-30","passed","2026-05-30","","example.spec.js","",""
"","476","NAV_006 Verify Sign Up link is visible","firefox","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","1105","CHECKOUT_006 Verify Credit Card field is visible","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","1422","CART_004 Verify cart page opens successfully","webkit","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","507","CONT_013 Verify multiple data entries Demo","chromium","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","1064","AUTH_008 Verify signup with empty password","firefox","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","30083","AUTH_016 Verify logout functionality","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","801","AUTH_009 Verify signup with empty username and password","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
